Learning Python,Powerful Object-Oriented Programming,"David Ascher,Mark Lutz","python,learning,OOP",1999,English
Programming Python, ,Mark Lutz,"python programming","1996",English
Effective Python,59 Specific Ways to Write Better Python,"Brett Slatkin","effective,python,programming,recipe",2015,English
Python for Everybody,Exploring Data Using Python 3,"Charles Severance","object,oop,python,programming",2016,English
